sockdude1	MWF	https://youtu.be/VeCyG6dSLH0	6.10	8/3	x		Falco	FALSE	TRUE	$0	1
Gibrani	Pichu	https://youtu.be/-wu2Jr9L4Ec	4.99	8/3		33	Falco	FALSE	TRUE	$0	1
sockdude1	Ganon	https://youtu.be/DsBvooNmCmE	7.90	8/4		13	Falco	FALSE	FALSE	$0	1
sockdude1	Ganon	https://youtu.be/NpWTjKdTEfI	7.80	8/4			Falco	FALSE	TRUE	$0	0
jenkem66	Peach	https://youtu.be/TxKmwmGiOHo	7.87	8/4	x		Mario	FALSE	FALSE	$1	0
sockdude1	Kirby	https://youtu.be/cYc9vk90YlU	11.77	8/4	x		Mario	TRUE	TRUE	$2	0
sockdude1	MWF	https://youtu.be/GiIETv4WMGY	9.77	8/4	x		Mario	TRUE	TRUE	$2	0
jenkem66	Peach	https://youtu.be/53xqwOGGKoc	7.75	8/5			Mario	TRUE	TRUE	$1	0
Judge9	Luigi	https://youtu.be/nezL2ejyr8Y	9.40	8/5	x		Mario	FALSE	FALSE	$1	0
jenkem66	Puff	https://youtu.be/sAUW09cEGCc	11.23	8/5	x		Mario	TRUE	TRUE	$2	0
sockdude1	FWF	https://youtu.be/Edf0PV-i96Q	11.38	8/5	x		Mario	FALSE	FALSE	$1	0
jenkem66	Fox	https://youtu.be/eZC5MGF_vME	4.93	8/5		12	Mario	FALSE	FALSE	$0	1
Gibrani	Luigi	https://youtu.be/eAFE9-HDarw	9.18	8/5		13	Mario	TRUE	TRUE	$1	1
sockdude1	FWF	https://youtu.be/C7euPCs6-68	10.88	8/5			Mario	TRUE	TRUE	$1	0
jenkem66	Fox	https://youtu.be/EhWlij-vtwo	4.77	8/5			Mario	TRUE	TRUE	$1	0
sockdude1	Ness	https://youtu.be/ngfIaAcdUTk	9.83	8/5	x		Mario	FALSE	FALSE	$1	0
sockdude1	Ness	https://youtu.be/g4jo2ZwFwO4	9.58	8/5			Mario	TRUE	TRUE	$1	0
sockdude1	Zelda	https://youtu.be/CSRRfhuScvc	12.25	8/5	x		Mario	TRUE	TRUE	$2	0
Judge9	Doc	https://youtu.be/CSRRfhuScvc	8.52	8/5	x		Mario	FALSE	FALSE	$1	0
Gibrani	Doc	https://youtu.be/0MbZtuKT82k	8.31	8/6		12	Mario	TRUE	TRUE	$1	1
Judge9	Marth	https://youtu.be/qEJiIUy9vX4	8.92	8/7	x		Mario	FALSE	FALSE	$1	0
sockdude1	Link	https://youtu.be/aVPs2Ux2B3E	5.00	8/7	x		Mario	FALSE	FALSE	$1	0
Gibrani	Pichu	https://youtu.be/Xj13KdDUvhA	6.63	8/7	x		Mario	TRUE	TRUE	$2	0
jenkem66	Link	https://youtu.be/OEI7KInsWRg	4.87	8/8		8	Mario	TRUE	TRUE	$1	1
Judge9	Sheik	https://youtu.be/p4cdvzt2seU	7.57	8/8	x		Mario	TRUE	TRUE	$2	0
Gibrani	Marth	https://youtu.be/LjuhdF-mCFk	8.73	8/8		11	Mario	FALSE	FALSE	$0	1
jenkem66	Marth	https://youtu.be/79wcmnrNTfI	8.70	8/8		2	Mario	TRUE	TRUE	$1	1
sockdude1	Giga	https://youtu.be/IS3IngDCJhg	7.53	8/8	x		Mario	TRUE	TRUE	$2	0
sockdude1	Roy	https://youtu.be/Q5yACXRakM8	9.11	8/9	x		Mario	TRUE	TRUE	$2	0
Judge9	GnW	https://youtu.be/s5HQRftCt5M	8.23	8/9	x		Mario	TRUE	TRUE	$2	0
Judge9	M2	https://youtu.be/-X4PireoFgE	7.21	8/9	x		Mario	FALSE	FALSE	$1	0
sockdude1	YL	https://youtu.be/f8OUxRuyL0Q	4.48	8/9	x		Mario	TRUE	TRUE	$2	0
Judge9	M2	https://youtu.be/tKyAbJjoNE8	7.10	8/9			Mario	TRUE	TRUE	$1	0